A shock running through a wire will,send sand through the wire,send water through the wire,send smoke through a town,send reactions through the wire,D
An object can be seen if it reflects light toward what?,visual organ,eye spy,feet,brain,A
Which of the following would be considered the most windy,a light drizzle,a light breeze,a powerful front,a tremendous hurricane,D
It is easiest to get a clear photo of the moon by,using a large magnifying glass,using a telephoto lens,using a telescopic lens,looking through a microscope,C
Pushing a little kid on a swing is easy because they are light. It will require more strength to push when,when he loses weight,when he eats chicken,seventy four plus five,he's older and heavier,D
Using less anthracite has a positive impact on the,stock market,ecosystem,coal plants,electric companies,B
"As the use of alt bio fuels increases, the use of what will decrease?",wind power,solar heat,hydro-electric power,non regenerating fuels,D
A child will only grow if they are provided with,a bed,education,inspiration,energy,D
A thermal insulator slows the transfer of what?,warmness,light,energy,liquid,A
A battery that is placed in vinegar will cause the vinegar to,be a good chemical copy,have new chemical properties,be safe to drink,attract groups of deer,B
Which is activity is least likely to be inherited?,how to taste food,how to hear sound,how to breathe oxygen,how to cook pasta,D
A raccoon be most likely to live near which of the following?,a human garbage dump,an icy barren tundra,an arid desert plain,a tropical rain forest,A
Saturday and Sunday together are,72 hours,24 hours,48 hours,36 hours,C
Carbon dioxide exists where it does because,humans expel it,deer eat it,birds use it,trees absorb it,A
A lot of deep dips in an expanse of land could have happened,over a month,over a decade,over a year,over a millennia,D
"A squirrel eats all of the acorns in a tree. The tree is empty, and the squirrel is still hungry, so",the squirrel studies,the squirrel leaves,the squirrel breeds,the squirrel flies,B
The deforestation can be the cause of what occurrence?,death of trees,death of oceans,saline solutions,global warming,A
A seismograph will be able to tell how much which thing is quivering?,bird,bunker,lemonade,jello,B
the gravitational pull between two objects increases as they are,spun around,brought together,exposed to light,moved apart,B
"A thing with cells is going to expand, but first requires",revolving,mackerel,sweets,nourishment,D
"If someone released a pollutant into the world, it would be all aside from",plastic,poison,trees,smoke,C
Animals help with seed dispersal due to the seeds from the fruit they eat being,expelled via excrement,smiled,expelled from school,kicked,A
A skunk produces a bad what?,job,plastic,energy,nose experience,D
Warm weather organisms live in what kind of climates?,icey,summerlike,frosty,frigid,B
What is the most sensible reason why a stove is often just white?,it scatters all photons away from it without absorbing any,a chef specified white makes food cook better,it was black until someone scrubbed all the blood off it and it turned white,confining a stove to any specific color is color-shaming and indicates white  privilege,A
"If a warmth is relocated from one thing to another, and one of the things is the producer of the heat, the source is the most likely to be",a stone,a vent,the moon,the sun,D
Magma is sourced in volcanoes and,is high enough kelvin to melt steel,on the desert plains,is beneath the aliens,can freeze water at all times,A
The sidewalk next to a house having a crack in it and having vegetation growing from it is considered?,insects,weathering,erosion,lava,B
Adding milk to a hot pan creates,rice,water,fairies,curds,D
"A puppy is sitting in a yard and is at the door, asking to come in. A person looks out the door and sees the pup tremble, so the person can tell that",the dog is lonely,the temps have dropped,the puppy is happy,the pup is strong,B
"if a chemical reaction occurs, it might have been triggered by which of these?",a person yelling at it,a person walking by it,a person looking at it intently,a person cranking up the room heater,D
Robotics would have great difficulty in existing if these had yet to be invented.,pots,cats,desktops,paper towels,C
An example of camouflage is when an organism looks like what?,clouds,local flora,buildings,oceans,B
what do planets orbit?,asteroids,moons,burning hydrogen ball,they are orbitless,C
"If a white bear lives in a space and is going to flourish, the space should mostly",match his fur color,have a warm climate,be dark and humid,be green and leafy,A
Electricity causes less pollution than what?,sound,car propellant,water,sunlight,B
Plants in an incinerator would,petrify,freeze,wilt,cremate,D
Which of these is likely to get hot,an angel,a kite,a bird,space craft,D
"A laser produces a light source, which may be useful in",cleaning a glass,juggling stones,playing with felines,doing the dishes,C
The sun is the what that is closest to earth?,battery,astral light,person,moon,B
"wildfire that is passed through the tree tops are dangerous, why?",it changes at the tip of a hat,it has magic powers,it creates a blackhole to suck up Earth,it has the power to travel in time,A
Good stewards of the environment would,pour old medications down the sink drain,choose plastic bags over reusables,purchase transportation that uses alternate fuel sources,use Styrofoam instead of paper plates,C
"If a bass is returned to its home, it is placed in",a brook,a field,a jungle,a coven,A
which of these could result in a person reaching their destination late?,a clear road path,a dry clear road,a road full of ice,a road without hills,C
a full moon will block which of these,global eclipse,lunar eclipse,twilight,solar eclipse,D
A frog was sick because it wasn't staying warm enough.,The frog was getting burned by a heat lamp,The water in the tank had dried up.,the frog was unable to regulate its body temperature without an external heat source,The frog was using too much ice in its drinks,C
"Thicker objects have stronger resistance, as evidenced by",thin tires popping sooner than thick ones,overweight dogs getting sick,thin pieces of wood being useful,thin people bruising easily,A
What does a seismograph measure?,the motion produced by underground collisions,the quaking of a man in fear,how strong the earth quakes beneath a stampeding herd,how strong waves can break plates,A
"If your dog is getting noticeably skinnier, you need to",increase its food intake,play some video games,feed it less food,Make it fly away,A
I can use electrical energy to,Run a mile,Swim,bake a bagel,Rock climb,C
"If a day has passed, so has",most of a month,most of thirty hours,most of a week,most of a year,B
A piece of pizza is placed within a box and becomes this when something is conducted throughout the box into the food:,toasted,meaty,frozen,cool,A
