Gold atoms can be identified based on the number of which subatomic particles?,neutrons,electrons,nuclei,protons,D
Which of these occurs if myosin fails to bind to actin during muscle contraction?,The muscle cells will lose ATP.,The muscle cells will remain relaxed.,The muscle cells will produce lactic acid.,The muscle cells will lose calcium ions.,B
"Tay-Sachs disease is a recessive genetic disorder. If only one gene is present, an individual is a carrier. What is the probability of two healthy Tay-Sachs carriers having a child that has the disease?",0%,25%,50%,75%,B
The tendency of a stationary object to resist being put into motion is known as,acceleration.,inertia.,weight.,velocity.,B
"In the 17th century, Gregor Mendel crossed pea plants with different traits and observed the results in their offspring. To which of these did Mendel contribute most directly with his work?",medicine,agriculture,science of force and motion,science of heredity and variation,D
A student describes a substance as lacking a definite shape. The description also states that the particles of matter are close to each other but still able to flow past each other. Which type of substance is the student most likely describing?,solid,liquid,mixture,compound,B
Why is a healthy diet important?,It maintains a constant body temperature.,It prevents damage to internal organs.,It makes oxygen for all the cells in the body.,It supplies the body’s needs for growth and energy.,D
Which of these features of Earth's crust are caused by the shifting of tectonic plates?,mid-ocean ridges,desert sand dunes,U-shaped valleys,continental shelves,A
Which group of organisms can make food by a process called chemosynthesis?,scavengers,producers,consumers,decomposers,B
"Since green plants make their own food, they are called",predators,prey,decomposers,producers,D
Which class of elements best conducts electricity?,metals,nonmetals,semimetals,noble (inert) gases,A
Which of the following best describes a mineral?,a solid natural material with a crystal structure,a material that was once living but has decayed,a liquid chemical used to make soil more fertile,a nutrient produced by plants that other organisms need,A
A student was taking notes while the teacher was discussing cells. Which of these is a statement that the teacher most likely made?,Most cells have the same shape.,The shape of a cell depends upon its function.,Cells that carry information are round and disk-shaped.,Blood cells that move through the body are long and thread-like.,B
Which change is most likely caused by a thunderstorm?,a glacier moving,a stream flooding,a volcano erupting,a mountain forming,B
Scientists can identify an element by looking at the structure of a single,atom.,neutron.,molecule.,electron.,A
The oceans most influence global climate by,releasing heat to the atmosphere.,cooling bordering land masses.,providing continuous onshore winds.,removing water vapor from the atmosphere.,A
"In order to survive, all organisms must have",chlorophyll,carbon dioxide,energy,blood,C
Angela wants to report daily weather conditions. In which unit should Angela record the air temperature?,degrees Celsius,centimeters,milliliters,grams,A
Which energy conversion process occurs whenever coal is burned?,mechanical to electrical,mechanical to thermal,chemical to electrical,chemical to thermal,D
"Ella has several wooden blocks. When Ella holds the blocks in her hand, she feels that they are rough. Which term best describes what Ella feels?",a prediction,a conclusion,a hypothesis,an observation,D
"In the past, wild hogs called ""javelinas"" were seen only in the southern part of New Mexico. Now, javelinas are seen in areas 100 miles further north. What is the most likely cause of this expansion?",Javelinas are reproducing less frequently.,Environmental conditions have changed.,The javelina's genetic traits have mutated.,Nutritional requirements of javelinas have changed.,B
Which is an example of a chemical change?,a rusting car fender,a spinning top,a spilled bucket of water,a melting popsicle,A
Where is most of Earth's water located?,glaciers,lakes,oceans,rivers,C
A child walks across a carpet and generates an electrical charge. The child will get a slight shock by touching a,metal doorknob.,plastic toy.,rubber ball.,wooden block.,A
Which natural material is best for making a table?,cotton that is lightweight,leather that can twist,paper that can tear,wood that is sturdy,D
"In 1872, the United States created a national park called Yellowstone. The park includes more than two million acres in the three states of Idaho, Montana, and Wyoming. Which statement best explains why national parks have a positive effect on ecosystems?",National parks limit people from seeing wildlife.,"National parks limit mining, logging, and hunting.",National parks protect land for farmers and ranchers.,National parks protect land for people to build houses.,B
"Wolves kill many elk every year and often attack old, sick, and injured members of a herd. Which of the following best describes the role of the wolves in the wolf-elk relationship?",competitor,host,parasite,predator,D
The formation of coal deposits occurred over millions of years. Which feature was most responsible for these deposits?,barren deserts,active volcanoes,mountains covered in trees,swamps with dense vegetation,D
Earth's core is primarily composed of which of the following materials?,basalt,iron,magma,quartz,B
"In the human body, what part of the central nervous system connects with other nerves outside of the central nervous system?",dendrite,cerebrum,cerebellum,spinal cord,D
Which characteristic can a puppy inherit from its parents?,muddy paws,spotted fur,broken foot,scar on face,B
Scientists compared Pluto with other objects in the solar system and found that Pluto is smaller than Earth's moon. This finding caused scientists to question whether Pluto is a planet because,Pluto gets less sunlight than Earth's moon,the other planets are much larger than Pluto,the other planets have moons and Pluto does not,Pluto rotates on its axis and the other planets do not,B
Which of these describes a chemical change?,water freezing,paper burning,water becoming steam,paper being torn,B
The following statements are from an article in a fitness magazine. Which of these is an opinion?,Exercise increases muscle mass.,Regular exercise reduces resting heart rate.,People should exercise because it makes them feel better.,Those who exercise regularly can increase their life span.,C
"Which substance is usually found in nature as a liquid, solid, and gas?",water,rock,metal,glass,A
What is the most prominent land feature formed by the convergence of the Indo-Australian and Eurasian plates?,China,Australia,Ural Mountains,Himalaya Mountains,D
"Some students were on a tour exploring the inside of a cave. While the students were in the cave, they realized they heard an echo every time that they spoke. Which most likely caused the echo to occur?",the accumulation of the sound waves,the diffraction of the sound waves,the refraction of the sound waves,the reflection of the sound waves,D
Rocks in warm and humid environments can be weathered faster than rocks in other environments. Which is most likely the next step in the rock cycle for weathered rocks?,They are cemented.,They are compacted.,They become eroded.,They become molted.,C
What safety equipment should be taken on all field trips?,gloves,fire extinguisher,first-aid kit,goggles,C
"When stratospheric ozone levels are reduced, the amount of ultraviolet radiation hitting Earth increases. Ozone depletion is most often caused",by the reversal of the magnetic field of Earth.,when fluorocarbons are released into the atmosphere.,when electromagnetic waves from the Sun increase.,by abrupt changes in weather and climate patterns.,B
"When athletes begin to exercise, their heart rates and respiration rates increase. At what level of organization does the human body coordinate these functions?",at the tissue level,at the organ level,at the system level,at the cellular level,C
"A student is working on a science project display for the school science fair. To best communicate why her conclusions are valid, what should be included on the display?",a list of authoritative sources that supports her conclusion,instructions for viewers to repeat her procedures,clearly illustrated diagrams of the scientific principles involved,a complete write-up of her experimental method and data collected,D
Acid rain caused by industrial pollution greatly reduces the number of trees in a forested region that is home to a particular species of bird. How might this decrease in the number of trees most likely affect this bird population?,The population will adapt to ground dwelling.,The population will decrease due to lack of resources.,The population will stabilize when it moves to another region.,The population will increase as predators move out of the region.,B
"During an experiment, a student reports that a liquid turned green when mixed with another liquid. This is an example of",a measurement,a prediction,an explanation,an observation,D
Humans depend on which natural resource from the environment?,water,houses,electricity,roads,A
An element is identified by,its number of protons.,the atomic mass.,the type of charge.,its number of isotopes.,A
Which technological advancement has done the most to improve the accuracy of weather predictions?,barometer,weather balloons,anemometer,satellites,D
